ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment_x,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted,sentiment_y
Harrowgate Park,-75.106369,39.999218,139,POINT (-75.106369 39.999218),100,0.41961537419463235,0.5765684905881325,7.91,0.72,1.44,41.01,48.92,0.0,3.56,3.56,0.3,33.5,59.07,0.0,Relaxation,0.41961537419463235
Fitler Square,-75.17976,39.9476,60,POINT (-75.17976 39.9476),50,0.7767953207095464,0.7789428145413047,10.0,0.0,0.0,25.0,65.0,0.0,7.32,0.0,0.0,31.89,60.8,0.0,Relaxation,0.7767953207095464
Fanny Kemble Abolitionist Memorial Park,-75.1498,40.03998,76,POINT (-75.1498 40.03998),50,0.41437892458940806,0.5568126342339977,3.95,2.63,1.32,39.47,52.63,0.0,13.48,2.12,0.33,38.72,45.35,0.0,Relaxation,0.41437892458940806
John Dickinson Square,-75.15086,39.92789,218,POINT (-75.15086 39.92789),100,0.6563051326559224,0.8063190425282061,11.47,0.92,0.0,26.61,60.09,0.92,8.9,0.05,0.0,20.44,69.65,0.97,Relaxation,0.6563051326559224
Weccacoe Square,-75.150634,39.938151,41,POINT (-75.150634 39.938151),50,0.38481598656351973,0.3385319382297412,2.44,0.0,0.0,26.83,70.73,0.0,1.98,0.0,0.0,31.27,66.76,0.0,Relaxation,0.38481598656351973
Thomas P Stokley Recreation Center,-75.18719,39.92596,141,POINT (-75.18719 39.92596),100,0.6820808547608396,0.4525070079722441,7.8,1.42,1.42,29.08,60.28,0.0,13.97,2.21,0.37,28.62,54.83,0.0,Relaxation,0.6820808547608396
Pastorius Park,-75.205123,40.070752,56,POINT (-75.205123 40.070752),50,0.7438020163348743,0.7452138659969648,12.5,1.79,1.79,14.29,67.86,1.79,9.61,0.96,0.86,10.58,75.85,2.14,Relaxation,0.7438020163348743
Paines Park,-75.180621,39.962874,214,POINT (-75.180621 39.962874),100,0.57460603257206,0.3033018123322153,11.21,0.0,0.0,21.5,67.29,0.0,6.01,0.0,0.0,32.09,61.9,0.0,Relaxation,0.57460603257206
Hunting Park Recreation Center,-75.14382,40.01744,128,POINT (-75.14382 40.01744),100,0.43308130744844675,0.5725954945169481,6.25,1.56,1.56,40.62,50.0,0.0,5.07,0.17,1.36,31.39,62.01,0.0,Relaxation,0.43308130744844675
Overington Park,-75.08828,40.016999,88,POINT (-75.08828 40.016999),50,0.6757358983159065,0.6506479425986558,5.68,1.14,0.0,20.45,72.73,0.0,3.31,8.07,0.0,24.88,63.74,0.0,Relaxation,0.6757358983159065
Cobbs Creek Park,-75.239171,39.940632,712,POINT (-75.239171 39.940632),200,0.6037974556845226,0.6078274386916221,8.71,0.0,1.69,33.71,55.9,0.0,13.89,0.0,1.4,28.87,55.84,0.0,Relaxation,0.6037974556845226
Eakins Oval,-75.178359,39.963627,165,POINT (-75.178359 39.963627),100,0.6771875338120894,0.4524654036908437,6.67,0.0,1.82,26.06,65.45,0.0,7.96,0.0,5.37,20.3,66.37,0.0,Relaxation,0.6771875338120894
