objectID,type,ParkName,GoogleID,Lat,Long,NumberRatings,inPhilly,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Point,Woodside Park,ChIJJ0HmN3zHxokRODaTOAFHUnE,40.00239,-75.20872,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tacony Creek Park, Whitaker Gateway",ChIJd_QXFbK3xokR6p-tgQG1jsA,40.02171,-75.11231,50,1,merge with Tacony Creek ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Point,Holme Crispin Park,ChIJI1unNXm0xokRyHQk3_zCgg8,40.057278,-75.02041,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Point,Triangle Park,ChIJCYYUXjnHxokRTLLmUD-9NhI,39.9834,-75.23189,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Point,Cianfrani Park,ChIJBRICDBnHxokR-feNuM38ZhU,39.940681,-75.155379,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Point,Benjamin Franklin Parkway,ChIJlzNI2TTGxokRvU4kLhhhV6A,39.959819,-75.173259,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Point,Vine Street Park (676 East),ChIJG3sxvirGxokR2j2NasmhukU,39.95702,-75.15579,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Point,Nicetown Park,ChIJe4gYV3W5xokR5Y6dLKa-dWY,40.019618,-75.155727,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tacony Creek Park, Bingham St. Gateway",ChIJp-fcuq63xokReHv464Y-4jw,40.02736,-75.1144,34,1,merge with Tacony Creek ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Point,Wissahickon Neighbors Playground,ChIJN5z-ZbO5xokRf-CFUMfsQsQ,40.021446,-75.213202,34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
